Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2018/09/11,17134.285,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/01/08,17134.523,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/03/12,17134.648,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/04/09,17134.706,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/05/19,17134.766,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/06/11,17134.829,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/07/09,17134.885,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1803,Pro,2019/08/13,17134.95,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/02/11,17763.1039,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2018/11/13,17763.107,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2018/11/13,17763.107,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/03/12,17763.1098,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/04/14,17763.1158,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/05/12,17763.1217,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/06/09,17763.1282,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/07/14,17763.1339,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/08/11,17763.1397,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/09/08,17763.1457,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/10/13,17763.1518,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2020/11/10,17763.1577,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
0,0,,,ClrStack,Walk,Stack,Windows 10,1809,Pro,2018/12/11,17763.194,ClrInstanceID={ClrInstanceID};Reserved1={Reserved1};Reserved2={Reserved2};FrameCount={FrameCount};Stack={Stack},{ClrInstanceID} | {Reserved1} | {Reserved2} | {FrameCount} | {Stack}
