Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 11,21H2,Pro,2022/10/18,22000.1098,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
1,0,Information,Tiering Heat Measurement Channel,HeatInit,,STORAGE_TIERING_KEYWORD_INIT,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Volume {VolumeGuid} (ID {VolumeIdHash}) is measuring I/O heat.,{VolumeGuid} | {VolumeIdHash}
