Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,1970/01/01,17134.1,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/09/10,17134.1006,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2018/06/12,17134.112,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2018/08/14,17134.228,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2018/09/11,17134.285,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/01/08,17134.523,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/03/12,17134.648,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/04/09,17134.706,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/05/19,17134.766,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
1,0,Information,Microsoft-Windows-Kernel-Process/Analytic,ProcessStart,Start,WINEVENT_KEYWORD_PROCESS,Windows 10,1803,Pro,2019/06/11,17134.829,Process {ProcessID} started at time {CreateTime} by parent {ParentProcessID} running in session {SessionID} with name {ImageName}.,{ProcessID} | {CreateTime} | {ParentProcessID} | {SessionID} | {ImageName}
