Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H2,Pro,2021/12/14,19043.1415,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/12/14,19043.1415,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/11/09,19043.1348,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/10/12,19043.1288,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/09/14,19043.1237,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/08/10,19043.1165,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/07/13,19043.111,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,21H1,Pro,2021/06/08,19043.1052,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2022/04/19,19042.1645,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
1,0,Information,Microsoft-Windows-AppModel-State/Debug,,,Unstructured Reset,Windows 10,20H2,Pro,2022/01/11,19042.1466,Error while deleting file: {ErrorString}. Error Code: {Error},{ErrorString} | {Error}
