Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
1,0,Information,Microsoft-Windows-QoS-Pacer/Diagnostic,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Create {FlowType} at {SendSpec.TokenRate} bytes/sec with status {Status},{FlowType} | {Status}
