Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
3022,0,Information,,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
3022,0,Information,,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Finished collecting trace for DoH query {QueryName} and type {QueryType}. Retry status code is: {QueryStatus},{QueryName} | {QueryType} | {QueryStatus}
