Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,22H2,Pro,2022/10/18,22621.674,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,22H2,Pro,2022/09/20,22621.382,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/09/20,22000.978,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/08/16,22000.856,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/07/19,22000.795,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/06/21,22000.739,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/05/17,22000.675,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/04/19,22000.613,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/03/15,22000.556,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/02/15,22000.493,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/01/11,22000.434,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2021/12/14,22000.376,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2021/11/09,22000.318,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2021/09/16,22000.194,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro,2022/10/18,22000.1098,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
100,0,Information,Microsoft-Windows-Security-UserConsentVerifier/Audit,Verification,Result,User Consent Verification Biometrics Fingerprint,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,A user consent verification request using a biometric fingerprint succeeded.Application: {AppName}Purpose for consent: {AppMessage},{AppName} | {AppMessage}
