Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,24H2,Pro,2024/10/2,26100.1742,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2022/12/20,22621.963,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2022/11/15,22621.819,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2022/10/18,22621.674,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2022/09/20,22621.382,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2023/03/21,22621.1413,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2023/02/21,22621.1265,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,22H2,Pro,2023/01/17,22621.1105,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,21H2,Pro,2022/09/20,22000.978,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,21H2,Pro,2022/08/16,22000.856,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
25001,0,Information,Microsoft-Windows-VWiFi/Diagnostic,EnableVWiFi,Start,,Windows 11,21H2,Pro,2022/07/19,22000.795,Received request to enable virtualization. 	Network Adapter: {FriendlyName}	Interface GUID: {IfGuid},{FriendlyName} | {IfGuid}
