Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
1,0,Error,System,,,,Windows 10,2004,Pro,2021/05/11,19041.985,An error with reference Id={evtErrorId} was encountered while processing the hive '{evtHiveName}'. The status was: {evtStatus}.  The additional information was {evtAdditionalInfo}.,{evtErrorId} | {evtHiveName} | {evtStatus} | {evtAdditionalInfo}
