Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
1000,0,Verbose,Microsoft-Windows-Biometrics/Operational,WBioSrvc,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,The Windows Biometric Service could not verify {BiometricSensor}3 ({BiometricSensor}2) using sensor: {BiometricSensor}.The operation failed with error: {BiometricSensor}4.,{BiometricSensor} | {BiometricSensor} | {BiometricSensor} | {BiometricSensor}
