Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
1,0,Information,Microsoft-Windows-CorruptedFileRecovery-Server/Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,The file {FileName} may be corrupted; which may have caused the application {AppName} to stop working. Windows did not attempt to repair {FileName} because it is not a protected system file.,{FileName} | {AppName} | {FileName}
