Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H2,Pro,2022/05/17,19044.1706,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H2,Pro,2022/04/19,19044.1645,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H2,Pro,2022/01/11,19044.1466,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H2,Pro,2021/10/12,19044.1288,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2021/04/13,19043.928,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2022/05/17,19043.1706,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2022/04/19,19043.1645,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2022/01/11,19043.1466,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H2,Pro,2021/12/14,19043.1415,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2021/12/14,19043.1415,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2021/11/09,19043.1348,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2021/10/12,19043.1288,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
4,0,Information,Microsoft-Windows-ReFS/Operational,,,VolumeMount,Windows 10,21H1,Pro,2021/09/14,19043.1237,The ReFS volume has been successfully mounted.Volume GUID:{VolumeGuid}Volume Name:{VolumeName}Volume Label:{VolumeLabel}Device Name:{DeviceName},{VolumeGuid} | {VolumeName} | {VolumeLabel} | {DeviceName}
