Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Error,,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
10000,0,Error,,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Unable to start a DCOM Server: {param3}. The error:'{param2}'Happened while starting this command:{param1},{param3} | {param2} | {param1}
