Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/12/20,19043.2364,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/11/15,19043.2251,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/10/18,19043.213,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/09/20,19043.2006,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/08/16,19043.1889,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/07/19,19043.1826,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/06/21,19043.1766,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/05/17,19043.1706,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/04/19,19043.1645,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/01/11,19043.1466,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/12/14,19043.1415,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H2,Pro,2021/12/14,19043.1415,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/11/09,19043.1348,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/10/12,19043.1288,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/09/14,19043.1237,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/08/10,19043.1165,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/07/13,19043.111,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2021/06/08,19043.1052,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2022/04/19,19042.1645,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2022/01/11,19042.1466,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/05/11,19041.985,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/05/11,19041.985,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/04/13,19041.928,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/04/13,19041.928,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/03/09,19041.867,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/03/09,19041.867,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/02/09,19041.804,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/02/09,19041.804,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2021/01/12,19041.746,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2021/01/12,19041.746,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/12/08,19041.685,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2020/12/08,19041.685,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2020/11/19,19041.631,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/11/10,19041.63,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/10/13,19041.572,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/09/08,19041.508,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/08/11,19041.45,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/07/14,19041.388,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/06/09,19041.329,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/05/27,19041.264,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,2004,Pro,2020/04/16,19041.208,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,20H2,Pro,2022/03/15,19041.1586,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H1,Pro,2022/03/15,19041.1586,Error in file {Str} on line {Int},{Str} | {Int}
100,0,Error,,Error,,Error,Windows 10,21H2,Pro,2022/03/15,19041.1586,Error in file {Str} on line {Int},{Str} | {Int}
