Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 10,1607,Pro,2016/11/08,14393.447,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 10,1511,Pro,2016/03/08,10586.164,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 10,1511,Pro,1970/01/01,10586.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 10,1507,Pro,2015/07/29,10240.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 8.1,8.1,Pro,1970/01/01,9600.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 8,8,Pro,1970/01/01,9200.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1000,0,Information,Application,,,,Windows 7,SP1,Ultimate,1970/01/01,7601.0,Performance counters for the {param1} ({param2}) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
1001,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Performance counters for the {param1} ({param2}) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.,{param1} | {param2}
