Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
1,0,Information,System,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Chrome Event: {Name} ({Phase}),{Name} | {Phase}
