Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2022/12/20,22621.963,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2022/11/15,22621.819,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2022/10/18,22621.674,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2022/09/20,22621.382,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2023/03/21,22621.1413,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2023/02/21,22621.1265,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,22H2,Pro,2023/01/17,22621.1105,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,21H2,Pro,2022/09/20,22000.978,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,21H2,Pro,2022/08/16,22000.856,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,21H2,Pro,2022/07/19,22000.795,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,21H2,Pro,2022/06/21,22000.739,For more details for this event; please refer to the 'Details' section,
10,0,Information,Microsoft-Windows-CAPI2/Operational,Build Chain,Start,Path Validation Path Discovery,Windows 11,21H2,Pro,2022/05/17,22000.675,For more details for this event; please refer to the 'Details' section,
