Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,System,,,,Windows 7,SP1,Ultimate,1970/01/01,7601.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 8,8,Pro,1970/01/01,9200.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 8.1,8.1,Pro,1970/01/01,9600.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1507,Pro,2015/07/29,10240.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1511,Pro,1970/01/01,10586.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1511,Enterprise,2016/02/09,10586.104,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1511,Pro,2016/03/08,10586.164,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows Server 2016,1607,Standard,2016/10/12,14393.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows Server 2016,1607,Standard,2016/11/08,14393.447,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1607,Pro,2016/11/08,14393.447,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1703,Pro,2017/03/20,15063.0,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1703,Pro,2017/06/13,15063.413,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1703,Pro,2017/07/11,15063.483,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1709,Pro,2017/12/12,16299.125,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1709,Pro,2017/11/14,16299.15,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
1,0,Warning,System,,,,Windows 10,1709,Pro,2017/11/14,16299.64,The Transaction (UOW={TxUow}; Description='{TxDescription}') was unable to be committed; and instead rolled back; this was due to an error message returned by CLFS while attempting to write a Prepare or Commit record for the Transaction.  The CLFS error returned was: {ClfsStatus}.,{TxUow} | {TxDescription} | {ClfsStatus}
