Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/03/09,19041.867,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/02/09,19041.804,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/02/09,19041.804,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2021/01/12,19041.746,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2021/01/12,19041.746,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/12/08,19041.685,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2020/12/08,19041.685,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,20H2,Pro,2020/11/19,19041.631,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/11/10,19041.63,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/10/13,19041.572,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/09/08,19041.508,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/08/11,19041.45,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/07/14,19041.388,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/06/09,19041.329,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/05/27,19041.264,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,2004,Pro,2020/04/16,19041.208,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,21H2,Pro,2022/03/15,19041.1586,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
100,1,Information,Operational,Boot Performance Monitoring,Boot Information,Event Log,Windows 10,21H1,Pro,2022/03/15,19041.1586,Windows has started up:      Boot Duration		:	{BootTime}ms     IsDegradation		:	{BootStartTime}6     Incident Time (UTC)	:	{BootStartTime},{BootTime} | {BootStartTime} | {BootStartTime}
