Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/08/16,19044.1889,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 11,21H2,Pro,2022/07/19,19044.1826,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/06/21,19044.1766,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/05/17,19044.1706,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
0,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Value Changed,,Cloud Sync Allowed,Windows 10,21H2,Pro,2022/04/19,19044.1645,Cloud sync allowed value changed; setting {CallerUserSid}2; from {OldConsentValue} to {NewConsentValue},{CallerUserSid} | {OldConsentValue} | {NewConsentValue}
