Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
1001,0,Error,Microsoft-Windows-Diagnostics-Networking/Debug,Load Helper Class,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,The component name '{ComponentName}' for the first party helper class '{HelperClassName}' is a duplicate,{ComponentName} | {HelperClassName}
