Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2018/11/13,17763.107,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
1000,0,Information,Microsoft-Windows-Networking-RealTimeCommunication/Tracing,,,Aoac,Windows Server 2016,1607,Standard,2016/11/08,14393.447,Object: {Object}; Channel ID:  {ChannelId}; Description: {StatusDescription}; Result: {hresult},{Object} | {ChannelId} | {StatusDescription} | {hresult}
