Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/07/19,22000.795,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/06/21,22000.739,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/05/17,22000.675,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/04/19,22000.613,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/03/15,22000.556,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/02/15,22000.493,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2022/01/11,22000.434,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2021/12/14,22000.376,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2021/11/09,22000.318,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro,2021/09/16,22000.194,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
10001,0,Information,Microsoft-Windows-VPN-Client/Operational,VPNWmiCreate,Success,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,VPN Profile {VpnConnectionName} has been created with the following properties: {PropertiesString},{VpnConnectionName} | {PropertiesString}
