Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/06/21,22000.739,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/05/17,22000.675,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/04/19,22000.613,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/03/15,22000.556,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/02/15,22000.493,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2022/01/11,22000.434,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2021/12/14,22000.376,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2021/11/09,22000.318,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro,2021/09/16,22000.194,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
1001,0,Information,Microsoft-Windows-WFP/Analytic,,,ut:AOAC,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,WFP: Packet Dropped - Filter Run-Time ID: {Timestamp}4; Layer Run-Time ID: {Timestamp}5,{Timestamp} | {Timestamp}
