Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
1,0,Error,Microsoft-Windows-Security-LessPrivilegedAppContainer/Operational,AccessFailure,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Access to the a resource has been denied for a less privileged app container at {FailureTime} (StackHash: {StackHash}).,{FailureTime} | {StackHash}
