Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
17,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,BuildTextServicesUI,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
18,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,BuildTextServicesUI,Stop,,Windows 8,8,Pro,1970/01/01,9200,Finished building Text Services UI,
18,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,BuildTextServicesUI,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,Finished building Text Services UI,
19,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,OnSpellerChange,Start,,Windows 8,8,Pro,1970/01/01,9200,,
19,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,OnSpellerChange,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
2,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,RearrangeTilesInGroups,Stop,,Windows 8,8,Pro,1970/01/01,9200,,
2,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,RearrangeTilesInGroups,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
20,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,OnSpellerChange,Stop,,Windows 8,8,Pro,1970/01/01,9200,Finished changing the selected speller,
20,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,OnSpellerChange,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,Finished changing the selected speller,
21,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,ApplyTextServicesSettings,Start,,Windows 8,8,Pro,1970/01/01,9200,,
21,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,ApplyTextServicesSettings,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
22,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,ApplyTextServicesSettings,Stop,,Windows 8,8,Pro,1970/01/01,9200,Finished applying Text Services settings,
22,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,ApplyTextServicesSettings,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,Finished applying Text Services settings,
23,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,CreateTextServices,Start,,Windows 8,8,Pro,1970/01/01,9200,,
23,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,CreateTextServices,Start,,Windows 8.1,8.1,Pro,1970/01/01,9600,,
24,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,CreateTextServices,Stop,,Windows 8,8,Pro,1970/01/01,9200,Finished instantiation the Text Services object,
24,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,CreateTextServices,Stop,,Windows 8.1,8.1,Pro,1970/01/01,9600,Finished instantiation the Text Services object,
25,0,Information,Analytic channel logs minor warnings, major state/configuration change that can help debug admin and operational events. Default enabled state: off. Target audience: PSS/diagnostic tools/component developers,LoadInputServicePage,Start,,Windows 8,8,Pro,1970/01/01,9200,,
