Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/06/21,22000.739,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/05/17,22000.675,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/04/19,22000.613,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/03/15,22000.556,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/02/15,22000.493,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2022/01/11,22000.434,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2021/12/14,22000.376,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2021/11/09,22000.318,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2021/09/16,22000.194,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
4001,0,Information,Microsoft-Windows-NetworkProfile/Operational,Wait for Identification,Start,,Windows 11,21H2,Pro,2023/03/21,22000.1696,Entered State: {CurrentOrNextState} Interface Guid: {InterfaceGuid},{CurrentOrNextState} | {InterfaceGuid}
