Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
1,0,Information,RTWorkQueue Extended,WorkQueue: Queue Extended,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,WorkQueue Queue extended: AsyncResult={AsyncResult} AsyncResultVTable={AsyncResultVTable},{AsyncResult} | {AsyncResultVTable}
