Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,22H2,Pro,2023/03/21,19045.2728,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
99,0,Error,Microsoft-Windows-SmartCard-DeviceEnum/Operational,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,Creation of node {InstancePath} failed with {ErrorCode}.,{InstancePath} | {ErrorCode}
