Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,24H2,Pro,2024/10/2,26100.1742,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2022/12/20,22621.963,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2022/11/15,22621.819,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2022/10/18,22621.674,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2022/09/20,22621.382,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2023/03/21,22621.1413,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2023/02/21,22621.1265,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,22H2,Pro,2023/01/17,22621.1105,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,21H2,Pro,2022/09/20,22000.978,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
1,0,Information,Microsoft-Windows-Runtime-Networking-BackgroundTransfer/Tracing,Background Transfer Operation,Start,KW_ALL,Windows 11,21H2,Pro,2022/08/16,22000.856,Operation {OperationId}: Start {TransferType}: {Method} {URI} Cost Policy: {CostPolicy}; Group: '{Group}'; Completion Group: {CompletionGroupId},{OperationId} | {TransferType} | {Method} | {URI} | {CostPolicy} | {Group} | {CompletionGroupId}
