Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,20H2,Pro,2022/02/15,19041.1526,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,20H2,Pro,2022/04/19,19042.1645,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,20H2,Pro,2021/12/14,19041.1415,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,20H2,Pro,2022/03/15,19041.1586,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,20H2,Pro,2022/01/11,19042.1466,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,21H2,Pro,2022/04/19,19044.1645,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,21H2,Pro,2022/01/11,19044.1466,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,21H2,Pro,2021/12/14,19043.1415,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,21H2,Pro,2022/02/15,19041.1526,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
10000,0,Critical,,,,Critical wlidbho,Windows 10,21H2,Pro,2022/03/15,19041.1586,{description} @{FileName}_{LineNumber},{description} | {FileName} | {LineNumber}
