Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
0,0,Error,SmbWmiAnalytic,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Function {FunctionName} returned MI error {MiError} Win32 Error {Win32Error},{FunctionName} | {MiError} | {Win32Error}
