Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
1,0,Information,Microsoft-Windows-WMI-Activity/Trace,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,GroupOperationId = {GroupOperationId}; OperationId = {OperationId}; Operation = {Operation}; ClientMachine = {ClientMachine}; User = {User}; ClientProcessId = {ClientProcessId}; NamespaceName = {NamespaceName},{GroupOperationId} | {OperationId} | {Operation} | {ClientMachine} | {User} | {ClientProcessId} | {NamespaceName}
