Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
201,0,Information,Microsoft Windows Information Protection Audit Regular Channel,,,Windows Information Protection Audit Data Copied Keyword,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,{DataInfo} has been copied ({Policy}) from {SourceAppName} (tagged as {SourceEnterpriseId}) to {DestinationAppName} (tagged as {DestinationEnterpriseId}),{DataInfo} | {Policy} | {SourceAppName} | {SourceEnterpriseId} | {DestinationAppName} | {DestinationEnterpriseId}
