Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/04/13,19043.928,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2022/06/21,19043.1766,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2022/05/17,19043.1706,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2022/04/19,19043.1645,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2022/01/11,19043.1466,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H2,Pro,2021/12/14,19043.1415,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/12/14,19043.1415,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/11/09,19043.1348,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/10/12,19043.1288,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
100,0,Information,Microsoft-Windows-SystemSettingsHandlers/Debug,,,CELL DATAMART,Windows 10,21H1,Pro,2021/09/14,19043.1237,DataMart cell balance completed with HRESULT [{HRESULT}] StatusCode [{StatusCode}],{HRESULT} | {StatusCode}
