Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2023/02/21,22000.1574,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2023/01/17,22000.1455,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
1001,0,Error,iaLPSS_GPIO2 Debug channel,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,ERROR: {Message} - STATUS: {Status},{Message} | {Status}
