Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
26,0,Information,System,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Application popup: {Caption} : {Message},{Caption} | {Message}
26,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Application popup: {Caption} : {Message},{Caption} | {Message}
