Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Admin,,,,Windows 10,2004,Pro,2020/04/16,19041.208,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/07/13,19041.111,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/07/14,18363.959,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/06/09,18363.9,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/05/12,18363.836,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/04/14,18363.778,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/03/12,18363.72,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/02/11,18363.657,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2020/01/14,18363.592,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2019/12/10,18363.535,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 10,1909,Pro,2019/10/05,18363.418,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
