Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,22H2,Pro,2023/01/17,22621.1105,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
1,0,Information,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Sending command MessageType: {MessageType}; MessageLength: {MessageLength}; MessageTransactionId: {MessageTransactionId}; TotalFragments: {TotalFragments}; CurrentFragment: {CurrentFragment}; ServiceId: {ServiceId}; CommandId: {CommandId}; CommandType: {CommandType}; InformationBufferLength: {InformationBufferLength}; InformationBuffer: {MessageType}0,{MessageType} | {MessageLength} | {MessageTransactionId} | {TotalFragments} | {CurrentFragment} | {ServiceId} | {CommandId} | {CommandType} | {InformationBufferLength} | {MessageType}
