Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2022/12/20,22621.963,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2022/11/15,22621.819,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2022/10/18,22621.674,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2022/09/20,22621.382,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2023/02/21,22621.1265,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2023/02/21,22621.1265,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,22H2,Pro,2023/01/17,22621.1105,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/09/20,22000.978,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/08/16,22000.856,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/07/19,22000.795,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/06/21,22000.739,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/05/17,22000.675,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/04/19,22000.613,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/03/15,22000.556,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/02/15,22000.493,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/01/11,22000.434,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2021/12/14,22000.376,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2021/11/09,22000.318,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2021/09/16,22000.194,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2023/02/21,22000.1574,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2023/01/17,22000.1455,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/12/20,22000.1335,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/11/15,22000.1219,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro,2022/10/18,22000.1098,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
1,0,Error,Operational,AJ,Error,AJ,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,AllJoyn encountered an error {QStatus} in module {Module}; file {File}; at line number {Line}. See the event user data for more information.,{QStatus} | {Module} | {File} | {Line}
