Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/01/08,17134.523,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/03/12,17134.648,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/04/09,17134.706,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/05/19,17134.766,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/06/11,17134.829,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/07/09,17134.885,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1803,Pro,2019/08/13,17134.95,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2020/02/11,17763.1039,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2018/11/13,17763.107,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
1,1,Error,Microsoft-Windows-SMBDirect/Admin,,,,Windows 10,1809,Pro,2020/03/12,17763.1098,The network adapter '{AdapterAlias}' is incompatible with SMB Direct. Compatible network adapters are required to support at least {RequiredSges} SGE(s) per receive queue work request. This adapter supports a maximum of {AdapterSupportedSges} SGE(s) per receive queue work request.,{AdapterAlias} | {RequiredSges} | {AdapterSupportedSges}
