Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/07/19,22000.795,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/06/21,22000.739,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/05/17,22000.675,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/04/19,22000.613,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/03/15,22000.556,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/02/15,22000.493,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2022/01/11,22000.434,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2021/12/14,22000.376,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2021/11/09,22000.318,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro,2021/09/16,22000.194,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
1,0,Information,Microsoft-Windows-SetupCl/Analytic,SetupCl task,,keyDiagnostic,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,SetupCl statistic ({Name}): {Description} = {Statistic}.,{Name} | {Description} | {Statistic}
