Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Information,Application,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
10000,0,Information,Application,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,Starting session {RmSessionId} - {UTCStartTime}.,{RmSessionId} | {UTCStartTime}
