Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2023/03/21,22000.1696,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2023/02/21,22000.1574,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2023/01/17,22000.1455,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2023/03/21,20348.1607,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2023/02/21,20348.1547,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2023/01/17,20348.1487,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/12/20,20348.1366,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,22H2,Pro,2023/03/21,19045.2728,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
1,0,Information,System,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,File System Filter '{DeviceName}' (Version {DeviceVersionMajor}.{DeviceVersionMinor}; {DeviceTime}) unloaded successfully.,{DeviceName} | {DeviceVersionMajor} | {DeviceVersionMinor} | {DeviceTime}
