Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
1000,0,Information,Microsoft-Windows-Winsock NameResolution Event/Operational,WinsockGai,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,GetAddrInfoW is called for queryName {NodeName}; serviceName {ServiceName}; flags {Flags}; family {Family}; socketType {SocketType}; protocol {Protocol} and seq {Location},{NodeName} | {ServiceName} | {Flags} | {Family} | {SocketType} | {Protocol} | {Location}
