Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
225,0,Information,Microsoft-Windows-TerminalServices-RDPClient/Debug,RDP State Transition,This event is raised during a state transition.,,Windows 10,21H2,Pro,2022/06/21,19044.1766,{StateTransitionName}: Transitioned successfully from {PreviousStateName} to {NewStateName} in response to {EventName}.,{StateTransitionName} | {PreviousStateName} | {NewStateName} | {EventName}
