Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,1,Error,Debug,,,Debug,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/06/21,19044.1766,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/05/17,19044.1706,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/04/19,19044.1645,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2022/01/11,19044.1466,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H2,Pro,2021/10/12,19044.1288,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2021/04/13,19043.928,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2022/06/21,19043.1766,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2022/05/17,19043.1706,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
1,1,Error,Debug,,,Debug,Windows 10,21H1,Pro,2022/04/19,19043.1645,An error occurred. 	DetectionLocation: 	{DetectionLocation} 	Status: 	{Status} 	AddionalData: 	{AdditionalData1} 	AdditionalData: 	{AdditionalData2},{DetectionLocation} | {Status} | {AdditionalData1} | {AdditionalData2}
