Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/10/18,19044.213,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/09/20,19044.2006,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/08/16,19044.1889,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/07/19,19044.1826,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/06/21,19044.1766,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/05/17,19044.1706,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/04/19,19044.1645,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/01/11,19044.1466,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2021/10/12,19044.1288,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/04/13,19043.928,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/10/18,19043.213,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/09/20,19043.2006,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/08/16,19043.1889,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/07/19,19043.1826,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/06/21,19043.1766,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/05/17,19043.1706,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/04/19,19043.1645,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/01/11,19043.1466,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/12/14,19043.1415,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2021/12/14,19043.1415,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/11/09,19043.1348,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/10/12,19043.1288,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/09/14,19043.1237,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/08/10,19043.1165,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/07/13,19043.111,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2021/06/08,19043.1052,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2022/04/19,19042.1645,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2022/01/11,19042.1466,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/05/11,19041.985,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/05/11,19041.985,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/04/13,19041.928,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/04/13,19041.928,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/03/09,19041.867,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/03/09,19041.867,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/02/09,19041.804,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/02/09,19041.804,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/01/12,19041.746,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/01/12,19041.746,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2020/12/08,19041.685,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/12/08,19041.685,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2020/11/19,19041.631,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/11/10,19041.63,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/10/13,19041.572,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/09/08,19041.508,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/08/11,19041.45,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/07/14,19041.388,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/06/09,19041.329,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/05/27,19041.264,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2020/04/16,19041.208,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2022/03/15,19041.1586,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/03/15,19041.1586,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/03/15,19041.1586,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2022/02/15,19041.1526,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H1,Pro,2022/02/15,19041.1526,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,21H2,Pro,2022/02/15,19041.1526,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/12/14,19041.1415,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/11/09,19041.1348,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/11/09,19041.1348,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/10/12,19041.1288,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/10/12,19041.1288,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/09/14,19041.1237,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/09/14,19041.1237,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/08/10,19041.1165,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/08/10,19041.1165,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/07/13,19041.111,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/07/13,19041.111,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,20H2,Pro,2021/06/08,19041.1052,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,2004,Pro,2021/06/08,19041.1052,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/07/14,18363.959,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/06/09,18363.9,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/05/12,18363.836,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/04/14,18363.778,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/03/12,18363.72,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/02/11,18363.657,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/01/14,18363.592,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2019/12/10,18363.535,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2019/10/05,18363.418,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/06/08,18363.1621,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/05/11,18363.1556,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/04/13,18363.15,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/03/09,18363.144,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/02/11,18363.1379,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2021/01/12,18363.1316,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/12/08,18363.1256,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/11/10,18363.1198,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/10/13,18363.1139,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/09/08,18363.1082,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1909,Pro,2020/08/11,18363.1016,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/07/14,18362.959,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/05/12,18362.836,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/03/12,18362.72,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/02/11,18362.657,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/12/10,18362.535,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/11/12,18362.476,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/09/10,18362.356,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/03/29,18362.3,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/07/09,18362.239,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2019/06/11,18362.175,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/12/08,18362.1256,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/11/10,18362.1198,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
10000,0,Information,Microsoft-Windows-NWiFi/Diagnostic,,,Init,Windows 10,1903,Pro,2020/10/13,18362.1139,OID_DOT11_RESET_REQUEST Complete {Status} ResetConfirmStatus={ResetStatus},{Status} | {ResetStatus}
