Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/05/11,19041.985,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/04/13,19041.928,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/03/09,19041.867,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/02/09,19041.804,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/01/12,19041.746,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/12/08,19041.685,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/11/10,19041.63,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/10/13,19041.572,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/09/08,19041.508,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/08/11,19041.45,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/07/14,19041.388,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/06/09,19041.329,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/05/27,19041.264,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2020/04/16,19041.208,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,{process}: {payload},{process} | {payload}
1,0,Critical,OpenSSH/Admin,,,,Windows 10,2004,Pro,2021/07/13,19041.111,{process}: {payload},{process} | {payload}
