Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/07/19,22000.795,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/06/21,22000.739,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/05/17,22000.675,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/04/19,22000.613,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/03/15,22000.556,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/02/15,22000.493,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/01/11,22000.434,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2021/12/14,22000.376,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2021/11/09,22000.318,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2021/09/16,22000.194,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 11,21H2,Pro,2022/07/19,19044.1826,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
16,0,Information,Microsoft Windows XAudio2 debug logging,Initialize,,,Windows 10,21H1,Pro,2021/04/13,19043.928,XAudio2 initialized at {Instance} on processor(s) {Processors},{Instance} | {Processors}
