Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
1001,0,Information,Microsoft-Windows-Sysprep/Analytic,RunRegistryDlls,Start,Performance Sysprep,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Executing sysprep providers from registry location '{BasePath}' during {Phase}.,{BasePath} | {Phase}
