Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2147484721,0,Warning,,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
2147484721,0,Warning,,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,The attempt by user {param2} to restart/shutdown computer {param1} failed,{param2} | {param1}
