Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro,2021/12/14,22000.376,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro,2021/11/09,22000.318,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro,2021/09/16,22000.194,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro,2022/11/15,22000.1219,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro,2022/10/18,22000.1098,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
1,0,Error,System,Driver,General,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,An operation has failed ({ErrorParam1}; {ErrorParam2}; {ErrorParam3}; {ErrorParam4}).{Context}HResult: {hr},{ErrorParam1} | {ErrorParam2} | {ErrorParam3} | {ErrorParam4} | {Context} | {hr}
