Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1703,Pro,2017/03/20,15063.0,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1703,Pro,2017/06/13,15063.413,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1703,Pro,2017/07/11,15063.483,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1709,Pro,2017/12/12,16299.125,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1709,Pro,2017/11/14,16299.15,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1709,Pro,2017/11/14,16299.64,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,1970/01/01,17134.1,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/09/10,17134.1006,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2018/06/12,17134.112,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2018/08/14,17134.228,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2018/09/11,17134.285,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/01/08,17134.523,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/03/12,17134.648,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/04/09,17134.706,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/05/19,17134.766,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/06/11,17134.829,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/07/09,17134.885,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1803,Pro,2019/08/13,17134.95,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/02/11,17763.1039,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2018/11/13,17763.107,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2018/11/13,17763.107,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/03/12,17763.1098,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/04/14,17763.1158,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/05/12,17763.1217,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/06/09,17763.1282,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/07/14,17763.1339,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/08/11,17763.1397,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
1000,0,Information,Operational,ReadyBoost,,ReadyBoost,Windows 10,1809,Pro,2020/09/08,17763.1457,The device ({DeviceName}) is suitable for a ReadyBoost cache.  The random read speed is {ReadRate} KB/sec.  The random write speed is {WriteRate} KB/sec.,{DeviceName} | {ReadRate} | {WriteRate}
