Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2023/03/21,22000.1696,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2023/02/21,22000.1574,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2023/01/17,22000.1455,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
1,0,Warning,Operational,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,The Subscription {SubscriptionId} could not be activated on target machine {MachineName} due to communication error.  Error Code is {ErrorCode}.  All retries have been performed before reaching this point and so the subscription will remain inactive on this target until subscription is resubmitted / reset. Additional fault message:{FaultMessage},{SubscriptionId} | {MachineName} | {ErrorCode} | {FaultMessage}
