Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/09/21,22000.978,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
1000,0,Error,Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal/Analytic,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Error initializing for network interface {interfaceId}.Error is {error}: {hresult},{interfaceId} | {error} | {hresult}
