Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,Microsoft-Windows-Kernel-CPU-Partition/Analytic,CPU Partition violation,An affinitization request violated CPU Partitions,CpuPartitionAffinityViolation,Windows 11,24H2,Pro,2024/10/2,26100.1742,An affinitization request (Kernel = {KernelAffinitization}) for the thread with TID {ThreadID} violated CPU Partitions with the following affinity: {RequestedAffinity}.,{KernelAffinitization} | {ThreadID} | {RequestedAffinity}
2,0,Warning,Microsoft-Windows-Kernel-CPU-Partition/Analytic,CPU Partition violation,A DPC scheduling request violated CPU Partitions,CpuPartitionDpcViolation,Windows 11,24H2,Pro,2024/10/2,26100.1742,A DPC (Pointer = {DeferredRoutineAddress}) was scheduled on processor {RequestedProcessorNumber}; across CPU Partition reservations.,{DeferredRoutineAddress} | {RequestedProcessorNumber}
3,0,Warning,Microsoft-Windows-Kernel-CPU-Partition/Analytic,CPU Partition violation,A generic DPC call request violated CPU Partitions,CpuPartitionGenericDpcViolation,Windows 11,24H2,Pro,2024/10/2,26100.1742,A DPC (Pointer = {DeferredRoutineAddress}) was scheduled as a generic DPC call; across CPU Partition reservations.,{DeferredRoutineAddress}
