Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2021/10/12,19043.1288,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2021/09/14,19043.1237,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2021/08/10,19043.1165,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2021/07/13,19043.111,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,21H1,Pro,2021/06/08,19043.1052,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2022/04/19,19042.1645,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2022/01/11,19042.1466,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/05/11,19041.985,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/05/11,19041.985,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/04/13,19041.928,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/04/13,19041.928,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/03/09,19041.867,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,20H2,Pro,2021/03/09,19041.867,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
100,0,Information,Microsoft-Windows-Sdbus/Analytic,Interrupt,,Interrupt handling,Windows 10,2004,Pro,2021/02/09,19041.804,Interrupt detected in ISR.SD Host Physical Address: {SDHostPhysicalAddress}Events (masked): {EventMask},{SDHostPhysicalAddress} | {EventMask}
