Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2021/04/13,19043.928,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
0,0,Information,muxencode,MPEG-2 Encode/Mux for DLNA,Start,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Starting. Video: {Region} ({VideoX};{VideoY}). Audio Channels: {AudioChannels}; Video Bit Rate: {VideoBitRate}; Audio Bit Rate {AudioBitRate}; Seek Offset {SeekOffsetMs}ms,{Region} | {VideoX} | {VideoY} | {AudioChannels} | {VideoBitRate} | {AudioBitRate} | {SeekOffsetMs}
