Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,22H2,Pro,2022/09/20,22621.382,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/09/20,22000.978,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/08/16,22000.856,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/07/19,22000.795,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/06/21,22000.739,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/05/17,22000.675,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/04/19,22000.613,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/03/15,22000.556,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/02/15,22000.493,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2022/01/11,22000.434,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
15,1,Information,Debug,SebEvent,Create,Trace SEB Event,Windows 11,21H2,Pro,2021/12/14,22000.376,SystemEventsBroker CreateEvent called for Event ID {BrokeredEventId}; UserSID: {UserSID} with Event Type {EventType},{BrokeredEventId} | {UserSID} | {EventType}
