Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
5001,0,Error,Microsoft-Windows-SettingSync-Azure/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,{ApiName} - Collection: {CollectionId}; ProviderOp: {ProviderOp}; Duration: {Duration}; HRESULT: {HRESULT}; CorrelationId: {CorrelationId},{ApiName} | {CollectionId} | {ProviderOp} | {Duration} | {HRESULT} | {CorrelationId}
