Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,22H2,Pro,2022/09/20,22621.382,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/09/20,22000.978,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/08/16,22000.856,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/07/19,22000.795,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/06/21,22000.739,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/05/17,22000.675,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/04/19,22000.613,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/03/15,22000.556,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/02/15,22000.493,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2022/01/11,22000.434,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2021/12/14,22000.376,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2021/11/09,22000.318,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro,2021/09/16,22000.194,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
0,0,Verbose,Events from the MPEG-2 Video Encoder MFT,Task done by the video encoder,Start,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Input sample ({pSample}) to stream #{InputStreamID} submitted to MPEG-2 Video Encoder through the MFT. Flags: {dwFlags},{pSample} | {InputStreamID} | {dwFlags}
