Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
1000,0,Information,Microsoft-Windows-Diagnostics-Networking/Operational,Start,Start,Core Events,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Network Diagnostics Framework started because the user requested a diagnostics session. Helper Class Name: {HelperClassName} Number of parameters: {NumberOfAttributes} Attributes passed to helper class: {HelperClassAttributes},{HelperClassName} | {NumberOfAttributes} | {HelperClassAttributes}
