Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/11/15,20348.1249,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/10/18,20348.1129,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,22H2,Pro,2022/11/15,19045.2251,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/11/15,19044.2251,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/10/18,19044.213,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/09/20,19044.2006,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/08/16,19044.1889,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
101,0,Information,Microsoft Windows Information Protection Audit TCB Channel,,,Windows Information Protection Audit Protection Removed Keyword,Windows 10,21H2,Pro,2022/07/19,19044.1826,Enterprise {PreviousEnterpriseId} tag has been removed ({Policy}) from the file: {FilePath},{PreviousEnterpriseId} | {Policy} | {FilePath}
